,metro,latitude,longitude,line,angle
75,CEMENTERIOS,0.903154269852216,0.5366001750934271,2,6.723373191100275
76,PARQUE OHIGGINS,0.6506821812341135,0.4739713260973937,2,-8.072250675320802
77,TOESCA,0.6834120409570632,0.4659273832945564,2,-27.426664845013693
78,EL LLANO,0.5536186593807495,0.5089099963286978,2,7.548835091183745
79,LAS MERCEDES,0.035665901413269384,0.8497999604627338,4,-11.431976103916313
80,EL GOLF,0.8420813729170268,0.7619341234503002,1,79.49323239542059
81,ALCANTARA,0.8476942012412669,0.7912811002644903,1,77.96768349196186
82,NUBLE,0.6201027418186447,0.6247004113754271,5,-16.45564554559193
83,ROJAS MAGALLANES,0.3216377587094806,0.7756544822977024,4,-25.38808004890166
84,CUMMING,0.7694076851229399,0.41810051869080384,5,87.29901391528449
85,CERRO BLANCO,0.8661427735926523,0.5299541556448684,2,13.645985782880446
86,PEDRERO,0.4440288410338692,0.6820359788758374,5,-42.10768535137918
87,SANTIAGO BUERAS,0.49276791871436737,0.0,5,12.385026094780837
88,LAS TORRES,0.4779764139002605,0.8024786075365377,4,26.370725200168273
89,SAN JOSE DE LA ESTRELLA,0.24524917291525938,0.8048884956085354,4,-10.616157597558407
90,PARQUE BUSTAMANTE,0.7528345655950064,0.5927618635212619,5,-17.349509451202824
91,PRINCIPE DE GALES,0.743710227917457,0.8668602735600193,4,-11.865000283767365
92,EL PARRON,0.3626057315444612,0.4548103625187011,2,14.718003724311526
93,MONTE TABOR,0.5574900269730201,0.05837389036895748,5,43.41121598147992
94,LO VIAL,0.4900313375640676,0.4916736484388034,2,5.676082475112449
95,TOBALABA L1,0.8353883151912792,0.7249282211072262,1,68.30568313811536
96,FRANKLIN,0.5819272165434449,0.4977030754313929,2,-30.394583280535137
97,LA CISTERNA L4A,0.3146636231112292,0.4356103323951366,4A,-82.60424643768283
98,LA GRANJA,0.29857540655904635,0.6561579229777184,4A,69.6993768264631
99,LOS ORIENTALES,0.6419879712636993,0.8546677460956893,4,20.785373564928612
100,SANTA JULIA,0.34243926710252043,0.7157932391343198,4A,6.31468215399385
101,HERNANDO DE MAGALLANES,0.8800836250316627,0.9374088055051302,1,86.95340441477907
102,LOS HEROES L2,0.7119837812830249,0.4421593915033026,2,-14.95313576239826
103,LO PRADO,0.7506042737803261,0.18338212729103268,5,81.03514053421051
104,TOBALABA L4,0.8353883151912792,0.7249282211072262,4,-52.39301487646244
105,BAQUEDANO L5,0.7766803568466966,0.5852083705956228,5,-17.061501574419466
